Identificador URL,Nome,Preço,Preço promocional,Estoque,SKU,Exibir na loja,Descrição
,ZEVANORY IA na Prática - by ARBM,147.00,,-,ZEV-IA-011,SIM,"Produto digital oficial ZEVANORY, versão 1.1. Entrega digital segura após pagamento confirmado."
,ZEVANORY Vendas na Prática - by ARBM,147.00,,-,ZEV-VEN-011,SIM,"Produto digital oficial ZEVANORY, versão 1.1. Entrega digital segura após pagamento confirmado."
,ZEVANORY Lucro & Caixa - by ARBM,197.00,,-,ZEV-LCX-011,SIM,"Produto digital oficial ZEVANORY, versão 1.1. Entrega digital segura após pagamento confirmado."
,ZEVANORY Combo IA + Vendas - by ARBM,247.00,,-,ZEV-CMB-011,SIM,"Produto digital oficial ZEVANORY, versão 1.1. Entrega digital segura após pagamento confirmado."
,ZEVANORY Negócio Completo - by ARBM,347.00,,-,ZEV-NGC-011,SIM,"Produto digital oficial ZEVANORY, versão 1.1. Entrega digital segura após pagamento confirmado."
